30000000,1,12915.3815
30000000,1,12911.5389
30000000,1,13086.2341
30000000,1,13031.8982
30000000,1,13121.7204
30000000,1,13227.0376
30000000,1,12970.1699
30000000,1,13193.1992
30000000,1,13054.6197
30000000,1,13004.5052
30000000,2,8561.6895
30000000,2,8063.9401
30000000,2,8405.1661
30000000,2,8238.8830
30000000,2,8178.4897
30000000,2,7455.1921
30000000,2,7560.0898
30000000,2,8697.1486
30000000,2,8423.0254
30000000,2,8558.2837
30000000,3,6449.4916
30000000,3,6658.3135
30000000,3,5889.2730
30000000,3,5831.4499
30000000,3,6183.9954
30000000,3,5817.0112
30000000,3,5075.4051
30000000,3,7033.1367
30000000,3,6503.1331
30000000,3,5644.1338
30000000,4,6293.6442
30000000,4,6995.5806
30000000,4,7288.1448
30000000,4,5593.0660
30000000,4,4781.7341
30000000,4,4784.2255
30000000,4,4923.7007
30000000,4,5558.9216
30000000,4,4625.7513
30000000,4,4282.2112
30000000,5,5107.6745
30000000,5,4193.2122
30000000,5,6373.7598
30000000,5,6141.9504
30000000,5,4754.8759
30000000,5,4355.8774
30000000,5,5827.8697
30000000,5,4730.3984
30000000,5,4780.0230
30000000,5,5127.1310
30000000,6,5760.3702
30000000,6,5897.8396
30000000,6,4454.9504
30000000,6,5004.2500
30000000,6,4358.3198
30000000,6,4084.4819
30000000,6,5226.2233
30000000,6,4810.2165
30000000,6,4836.9201
30000000,6,4857.1915
